ISO3,score_2012,country,score_2022,delta,rank_2012,rank_2022,rank_delta
LCA,0.0,Saint Lucia,0.004424778761061947,0.004424778761061947,200.0,176.0,24.0
SSD,0.0,South Sudan,0.004424778761061947,0.004424778761061947,200.0,176.0,24.0
ARE,0.5265486725663717,United Arab Emirates,0.5309734513274336,0.004424778761061843,11.0,15.0,-4.0
FJI,0.0752212389380531,Fiji,0.0752212389380531,0.0,72.0,90.0,-18.0
CYP,0.07079646017699115,Cyprus,0.07079646017699115,0.0,79.0,91.0,-12.0
TUN,0.04424778761061947,Tunisia,0.04424778761061947,0.0,99.0,107.0,-8.0
SLV,0.03982300884955752,El Salvador,0.03982300884955752,0.0,108.0,112.0,-4.0
LBR,0.02654867256637168,Liberia,0.02654867256637168,0.0,122.0,128.0,-6.0
BRB,0.022123893805309734,Barbados,0.022123893805309734,0.0,126.0,133.0,-7.0
ABW,0.017699115044247787,Aruba,0.017699115044247787,0.0,137.0,138.0,-1.0
BHS,0.017699115044247787,Bahamas,0.017699115044247787,0.0,137.0,138.0,-1.0
BLZ,0.017699115044247787,Belize,0.017699115044247787,0.0,137.0,138.0,-1.0
ISL,0.017699115044247787,Iceland,0.017699115044247787,0.0,137.0,138.0,-1.0
PNG,0.017699115044247787,Papua New Guinea,0.017699115044247787,0.0,137.0,138.0,-1.0
VGB,0.017699115044247787,British Virgin Islands,0.017699115044247787,0.0,137.0,138.0,-1.0
ALB,0.01327433628318584,Albania,0.01327433628318584,0.0,152.0,149.0,3.0
SYC,0.01327433628318584,Seychelles,0.01327433628318584,0.0,152.0,149.0,3.0
GUM,0.008849557522123894,Guam,0.008849557522123894,0.0,164.0,163.0,1.0
CCK,0.004424778761061947,Cocos Islands,0.004424778761061947,0.0,177.0,176.0,1.0
FLK,0.004424778761061947,Falkland Islands (Malvinas),0.004424778761061947,0.0,177.0,176.0,1.0
GIB,0.004424778761061947,Gibraltar,0.004424778761061947,0.0,177.0,176.0,1.0
LSO,0.004424778761061947,Lesotho,0.004424778761061947,0.0,177.0,176.0,1.0
PCN,0.004424778761061947,Pitcairn,0.004424778761061947,0.0,177.0,176.0,1.0
SLE,0.004424778761061947,Sierra Leone,0.004424778761061947,0.0,177.0,176.0,1.0
TCD,0.004424778761061947,Chad,0.004424778761061947,0.0,177.0,176.0,1.0
AIA,0.0,Anguilla,0.0,0.0,200.0,200.0,0.0
ATF,0.0,French Southern Territories,0.0,0.0,200.0,200.0,0.0
BES,0.0,Bonaire,0.0,0.0,200.0,200.0,0.0
COK,0.0,Cook Islands,0.0,0.0,200.0,200.0,0.0
CXR,0.0,Christmas Islands,0.0,0.0,200.0,200.0,0.0
ESH,0.0,Western Sahara,0.0,0.0,200.0,200.0,0.0
FSM,0.0,Micronesia,0.0,0.0,200.0,200.0,0.0
GRL,0.0,Greenland,0.0,0.0,200.0,200.0,0.0
NFK,0.0,Norfolk Islands,0.0,0.0,200.0,200.0,0.0
NRU,0.0,Nauru,0.0,0.0,200.0,200.0,0.0
PLW,0.0,Palau,0.0,0.0,200.0,200.0,0.0
PSE,0.0,State of Palestine,0.0,0.0,200.0,200.0,0.0
SHN,0.0,Saint Helena,0.0,0.0,200.0,200.0,0.0
SPM,0.0,Saint Pierre and Miquelon,0.0,0.0,200.0,200.0,0.0
TON,0.0,Tonga,0.0,0.0,200.0,200.0,0.0
TUV,0.0,Tuvalu,0.0,0.0,200.0,200.0,0.0
UMI,0.0,United States Minor Outlying Islands,0.0,0.0,200.0,200.0,0.0
WLF,0.0,Wallis and Futuna Islands,0.0,0.0,200.0,200.0,0.0
MEX,0.10176991150442477,Mexico,0.09734513274336283,-0.00442477876106194,60.0,80.0,-20.0
TTO,0.08407079646017698,Trinidad and Tobago,0.07964601769911504,-0.00442477876106194,69.0,88.0,-19.0
