ISO3,score_2012,country,score_2022,delta,rank_2012,rank_2022,rank_delta
PSE,0.1327433628318584,State of Palestine,0.1415929203539823,0.008849557522123908,121.0,123.0,-2.0
MAC,0.11946902654867256,"China, Macao SAR",0.12831858407079647,0.008849557522123908,131.0,135.0,-4.0
COK,0.022123893805309734,Cook Islands,0.030973451327433628,0.008849557522123894,207.0,196.0,11.0
LSO,0.01327433628318584,Lesotho,0.022123893805309734,0.008849557522123894,212.0,203.0,9.0
BES,0.0,Bonaire,0.008849557522123894,0.008849557522123894,228.0,219.0,9.0
IOT,0.0,British Indian Ocean Territory,0.008849557522123894,0.008849557522123894,228.0,219.0,9.0
QAT,0.22566371681415928,Qatar,0.23008849557522124,0.004424778761061954,71.0,83.0,-12.0
MUS,0.19469026548672566,Mauritius,0.19911504424778761,0.004424778761061954,85.0,97.0,-12.0
GAB,0.1415929203539823,Gabon,0.14601769911504425,0.004424778761061954,115.0,117.0,-2.0
HND,0.11946902654867256,Honduras,0.12389380530973451,0.004424778761061954,131.0,139.0,-8.0
SOM,0.07079646017699115,Somalia,0.0752212389380531,0.004424778761061954,173.0,173.0,0.0
VGB,0.035398230088495575,British Virgin Islands,0.03982300884955752,0.004424778761061947,196.0,193.0,3.0
GUM,0.02654867256637168,Guam,0.030973451327433628,0.004424778761061947,204.0,196.0,8.0
NRU,0.01327433628318584,Nauru,0.017699115044247787,0.004424778761061947,212.0,210.0,2.0
SMR,0.008849557522123894,San Marino,0.01327433628318584,0.004424778761061947,217.0,213.0,4.0
SPM,0.008849557522123894,Saint Pierre and Miquelon,0.01327433628318584,0.004424778761061947,217.0,213.0,4.0
VAT,0.008849557522123894,Holy See,0.01327433628318584,0.004424778761061947,217.0,213.0,4.0
NFK,0.004424778761061947,Norfolk Islands,0.008849557522123894,0.004424778761061947,223.0,219.0,4.0
CXR,0.0,Christmas Islands,0.004424778761061947,0.004424778761061947,228.0,222.0,6.0
SDN,0.11061946902654868,Former Sudan,0.11504424778761062,0.00442477876106194,143.0,147.0,-4.0
GNQ,0.09292035398230089,Equatorial Guinea,0.09734513274336283,0.00442477876106194,155.0,159.0,-4.0
SLB,0.061946902654867256,Solomon Islands,0.0663716814159292,0.00442477876106194,181.0,180.0,1.0
TGO,0.19911504424778761,Togo,0.20353982300884954,0.004424778761061926,82.0,95.0,-13.0
ITA,1.0176991150442478,Italy,1.0176991150442478,0.0,3.0,4.0,-1.0
LBN,0.5707964601769911,Lebanon,0.5707964601769911,0.0,20.0,22.0,-2.0
UGA,0.18584070796460178,Uganda,0.18584070796460178,0.0,89.0,100.0,-11.0
LBR,0.1415929203539823,Liberia,0.1415929203539823,0.0,115.0,123.0,-8.0
BRN,0.1327433628318584,Brunei Darussalam,0.1327433628318584,0.0,121.0,131.0,-10.0
ERI,0.048672566371681415,Eritrea,0.048672566371681415,0.0,189.0,187.0,2.0
FLK,0.01327433628318584,Falkland Islands (Malvinas),0.01327433628318584,0.0,212.0,213.0,-1.0
NIU,0.01327433628318584,Niue,0.01327433628318584,0.0,212.0,213.0,-1.0
SHN,0.01327433628318584,Saint Helena,0.01327433628318584,0.0,212.0,213.0,-1.0
PCN,0.004424778761061947,Pitcairn,0.004424778761061947,0.0,223.0,222.0,1.0
UMI,0.004424778761061947,United States Minor Outlying Islands,0.004424778761061947,0.0,223.0,222.0,1.0
AFG,0.09734513274336283,Afghanistan,0.09292035398230089,-0.00442477876106194,152.0,162.0,-10.0
PLW,0.05752212389380531,Palau,0.05309734513274336,-0.004424778761061947,183.0,185.0,-2.0
TCD,0.04424778761061947,Chad,0.03982300884955752,-0.004424778761061947,193.0,193.0,0.0
KNA,0.030973451327433628,Saint Kitts and Nevis,0.02654867256637168,-0.004424778761061947,200.0,201.0,-1.0
MNP,0.02654867256637168,Northern Mariana Islands,0.022123893805309734,-0.004424778761061947,204.0,203.0,1.0
WLF,0.02654867256637168,Wallis and Futuna Islands,0.022123893805309734,-0.004424778761061947,204.0,203.0,1.0
CCK,0.008849557522123894,Cocos Islands,0.004424778761061947,-0.004424778761061947,217.0,222.0,-5.0
ESH,0.004424778761061947,Western Sahara,0.0,-0.004424778761061947,223.0,228.0,-5.0
CMR,0.22123893805309736,Cameroon,0.2168141592920354,-0.004424778761061954,74.0,89.0,-15.0
HTI,0.11061946902654868,Haiti,0.10619469026548672,-0.004424778761061954,143.0,154.0,-11.0
LBY,0.1327433628318584,Libya,0.12389380530973451,-0.00884955752212388,121.0,139.0,-18.0
GRL,0.08407079646017698,Greenland,0.0752212389380531,-0.00884955752212388,159.0,173.0,-14.0
GRD,0.0663716814159292,Grenada,0.05752212389380531,-0.008849557522123887,178.0,182.0,-4.0
KIR,0.0663716814159292,Kiribati,0.05752212389380531,-0.008849557522123887,178.0,182.0,-4.0
ABW,0.08849557522123894,Aruba,0.07964601769911504,-0.008849557522123894,157.0,170.0,-13.0
WSM,0.05309734513274336,Samoa,0.04424778761061947,-0.008849557522123894,187.0,189.0,-2.0
ASM,0.030973451327433628,American Samoa,0.022123893805309734,-0.008849557522123894,200.0,203.0,-3.0
TCA,0.030973451327433628,Turks and Caicos Islands,0.022123893805309734,-0.008849557522123894,200.0,203.0,-3.0
ATF,0.008849557522123894,French Southern Territories,0.0,-0.008849557522123894,217.0,228.0,-11.0
GHA,0.3672566371681416,Ghana,0.3584070796460177,-0.008849557522123908,39.0,51.0,-12.0
MDG,0.16371681415929204,Madagascar,0.15486725663716813,-0.008849557522123908,99.0,114.0,-15.0
VEN,0.1415929203539823,Venezuela,0.1327433628318584,-0.008849557522123908,115.0,131.0,-16.0
AIA,0.017699115044247787,Anguilla,0.004424778761061947,-0.01327433628318584,209.0,222.0,-13.0
VNM,0.7964601769911505,Vietnam,0.7831858407079646,-0.013274336283185861,10.0,16.0,-6.0
ZAF,0.5265486725663717,South Africa,0.5132743362831859,-0.013274336283185861,23.0,31.0,-8.0
COG,0.18141592920353983,"Congo, Republic",0.16371681415929204,-0.017699115044247787,93.0,108.0,-15.0
FJI,0.17699115044247787,Fiji,0.1592920353982301,-0.017699115044247787,94.0,112.0,-18.0
ZWE,0.11504424778761062,Zimbabwe,0.09734513274336283,-0.017699115044247787,137.0,159.0,-22.0
VCT,0.09734513274336283,Saint Vincent and the Grenadines,0.07964601769911504,-0.017699115044247787,152.0,170.0,-18.0
DJI,0.09292035398230089,Djibouti,0.0752212389380531,-0.017699115044247787,155.0,173.0,-18.0
FSM,0.04424778761061947,Micronesia,0.02654867256637168,-0.017699115044247787,193.0,201.0,-8.0
TON,0.035398230088495575,Tonga,0.017699115044247787,-0.017699115044247787,196.0,210.0,-14.0
TKL,0.022123893805309734,Tokelau,0.004424778761061947,-0.017699115044247787,207.0,222.0,-15.0
SGP,0.5486725663716814,Singapore,0.5265486725663717,-0.022123893805309658,21.0,28.0,-7.0
BEN,0.24336283185840707,Benin,0.22123893805309736,-0.022123893805309713,60.0,87.0,-27.0
BIH,0.2079646017699115,Bosnia Herzegovina,0.18584070796460178,-0.022123893805309713,79.0,100.0,-21.0
TKM,0.07079646017699115,Turkmenistan,0.048672566371681415,-0.022123893805309734,173.0,187.0,-14.0
BTN,0.04424778761061947,Bhutan,0.022123893805309734,-0.022123893805309734,193.0,203.0,-10.0
CPV,0.1504424778761062,Cabo Verde,0.12831858407079647,-0.02212389380530974,108.0,135.0,-27.0
MRT,0.11061946902654868,Mauritania,0.08849557522123894,-0.02212389380530974,143.0,165.0,-22.0
AND,0.08407079646017698,Andorra,0.05752212389380531,-0.026548672566371674,159.0,182.0,-23.0
CHN,0.9646017699115044,China,0.9336283185840708,-0.030973451327433565,4.0,8.0,-4.0
DOM,0.21238938053097345,Dominican Republic,0.18141592920353983,-0.03097345132743362,77.0,103.0,-26.0
BLR,0.16814159292035397,Belarus,0.13716814159292035,-0.03097345132743362,97.0,126.0,-29.0
BOL,0.12389380530973451,Bolivia,0.09292035398230089,-0.03097345132743362,126.0,162.0,-36.0
COM,0.11946902654867256,Comoros,0.08849557522123894,-0.03097345132743362,131.0,165.0,-34.0
SEN,0.19911504424778761,Senegal,0.16371681415929204,-0.035398230088495575,82.0,108.0,-26.0
ALB,0.15486725663716813,Albania,0.11946902654867256,-0.035398230088495575,102.0,143.0,-41.0
YEM,0.15486725663716813,Yemen,0.11504424778761062,-0.039823008849557515,102.0,147.0,-45.0
PRK,0.07079646017699115,"Korea, Democratic People’s Republic",0.030973451327433628,-0.03982300884955752,173.0,196.0,-23.0
SYC,0.2079646017699115,Seychelles,0.16814159292035397,-0.03982300884955753,79.0,107.0,-28.0
THA,1.1017699115044248,Thailand,1.0619469026548671,-0.039823008849557695,2.0,3.0,-1.0
VUT,0.09734513274336283,Vanuatu,0.05309734513274336,-0.04424778761061947,152.0,185.0,-33.0
BFA,0.16371681415929204,Burkina Faso,0.11504424778761062,-0.04867256637168142,99.0,147.0,-48.0
HKG,0.4469026548672566,"China, Hong Kong SAR",0.3938053097345133,-0.053097345132743334,29.0,43.0,-14.0
ARG,0.3805309734513274,Argentina,0.3274336283185841,-0.053097345132743334,36.0,56.0,-20.0
NGA,0.3495575221238938,Nigeria,0.28761061946902655,-0.06194690265486724,41.0,69.0,-28.0
FRO,0.08407079646017698,Faeroe Islands,0.022123893805309734,-0.06194690265486725,159.0,203.0,-44.0
DZA,0.1504424778761062,Algeria,0.08407079646017698,-0.06637168141592922,108.0,169.0,-61.0
PAK,0.8761061946902655,Pakistan,0.8053097345132744,-0.07079646017699115,7.0,15.0,-8.0
NCL,0.10176991150442477,New Caledonia,0.030973451327433628,-0.07079646017699115,149.0,196.0,-47.0
KWT,0.42920353982300885,Kuwait,0.3495575221238938,-0.07964601769911506,32.0,53.0,-21.0
SYR,0.19911504424778761,Syria,0.11946902654867256,-0.07964601769911506,82.0,143.0,-61.0
MYT,0.08407079646017698,Mayotte,0.0,-0.08407079646017698,159.0,228.0,-69.0
URY,0.47345132743362833,Uruguay,0.3893805309734513,-0.08407079646017701,27.0,45.0,-18.0
ANT,0.11504424778761062,Netherlands Antilles,0.0,-0.11504424778761062,137.0,228.0,-91.0
NER,0.2743362831858407,Niger,0.1415929203539823,-0.1327433628318584,55.0,123.0,-68.0
EGY,0.5353982300884955,Egypt,0.35398230088495575,-0.18141592920353977,22.0,52.0,-30.0
