ISO3,country,degree_centrality,in_degree_centrality,out_degree_centrality,betweenness,betweenness_weighted,strength_out,strength_in
ABW,Aruba,0.08849557522123894,0.07079646017699115,0.017699115044247787,0.0012873811047249461,0.0,1153.0424,12969.7072873
DEU,Germany,0.8893805309734513,0.3230088495575221,0.5663716814159292,0.0375364803588765,0.0536086529006883,351478.075238066,1192011.42053804
JOR,Jordan,0.25663716814159293,0.17256637168141592,0.08407079646017698,0.0015120748439476097,0.0,6149.97519,723444.56501449
POL,Poland,0.4424778761061947,0.2168141592920354,0.22566371681415928,0.005290764034161743,0.04369714847590954,59688.30948301,291631.8953575
VEN,Venezuela,0.1415929203539823,0.12389380530973451,0.017699115044247787,0.0003100948847043491,3.9331366764995083e-05,3316.299,180093.59206609998
AFG,Afghanistan,0.09734513274336283,0.0752212389380531,0.022123893805309734,0.00012318451245934127,0.0,923.548,585564.05059
AZE,Azerbaijan,0.13716814159292035,0.11946902654867256,0.017699115044247787,0.0002633937258032067,0.004385447394296952,56.615573,53073.5636255
IRN,Iran,0.28761061946902655,0.12389380530973451,0.16371681415929204,0.00630830529803842,0.004405113077679449,1028.54862333,5255329.853698
KAZ,Kazakhstan,0.1902654867256637,0.12831858407079647,0.061946902654867256,0.0008614036744570917,0.0,64229.263997,74542.47708948
NGA,Nigeria,0.3495575221238938,0.27876106194690264,0.07079646017699115,0.028014549417573073,0.043775811209439526,214.41798400000002,4887746.38704928
PAK,Pakistan,0.8761061946902655,0.17699115044247787,0.6991150442477876,0.03921628006449029,0.23335299901671583,9425465.910655,78531.457362
ALB,Albania,0.15486725663716813,0.1415929203539823,0.01327433628318584,5.130215750210021e-05,0.0,393.11400000000003,61770.19667019
CAN,Canada,0.6991150442477876,0.33185840707964603,0.3672566371681416,0.03781220414946823,0.012507374631268437,26214.86075351,1226750.43932404
SRB,Serbia,0.24336283185840707,0.15486725663716813,0.08849557522123894,0.001885621474756134,0.017718780727630286,3302.78396299,53965.75029738
AND,Andorra,0.08407079646017698,0.03982300884955752,0.04424778761061947,0.00012837869896699584,0.0,894.552698,2452.43741188
ANT,Netherlands Antilles,0.11504424778761062,0.09734513274336283,0.017699115044247787,0.0009592520061236185,0.0,4.58568,37466.691341800004
BFA,Burkina Faso,0.16371681415929204,0.1504424778761062,0.01327433628318584,0.0009029273042525803,0.004405113077679449,716.181206,188975.91987373002
COM,Comoros,0.11946902654867256,0.11946902654867256,0.0,0.0,0.0,0.0,56149.747646872
ESP,Spain,0.7389380530973452,0.23893805309734512,0.5,0.019840553872369767,0.02446411012782694,535965.80569236,255836.9175453
ETH,Ethiopia,0.1504424778761062,0.1415929203539823,0.008849557522123894,0.004239611559512661,0.004365781710914454,4.471094,83220.54772779
GHA,Ghana,0.3672566371681416,0.3008849557522124,0.0663716814159292,0.013196199252162533,0.04355948869223206,2580.494255,836346.33253078
MUS,Mauritius,0.19469026548672566,0.12389380530973451,0.07079646017699115,0.005332061455743892,0.0,14197.789637499998,227039.31232831598
RWA,Rwanda,0.1504424778761062,0.12831858407079647,0.022123893805309734,0.006039023300136858,0.004523107177974435,345.42181899999997,58040.54973135
BRB,Barbados,0.10176991150442477,0.07964601769911504,0.022123893805309734,0.0002684415747143548,0.0,80.813367,12499.389883299998
DOM,Dominican Republic,0.21238938053097345,0.13716814159292035,0.0752212389380531,0.00824147562280108,0.0,17689.363295,64621.20508465
NLD,Netherlands,0.7876106194690266,0.2831858407079646,0.504424778761062,0.02623468990940129,0.11124877089478859,622444.4181219001,504438.4442261
ARE,United Arab Emirates,0.747787610619469,0.22123893805309736,0.5265486725663717,0.019375313622475635,0.08471976401179941,1706934.7287792999,5184206.0162096
AGO,Angola,0.22123893805309736,0.22123893805309736,0.0,0.0,0.0,0.0,949896.11787882
ARM,Armenia,0.10176991150442477,0.09734513274336283,0.004424778761061947,4.981845947975404e-05,0.0,0.314,8689.1204892
AUS,Australia,0.4823008849557522,0.2345132743362832,0.24778761061946902,0.01461042408540838,0.06436578171091445,518497.799373,788727.8893363001
AUT,Austria,0.4026548672566372,0.22566371681415928,0.17699115044247787,0.0018761152786355524,0.009577187807276302,83218.5594185,203888.10724306
BDI,Burundi,0.07079646017699115,0.0663716814159292,0.004424778761061947,1.4093671982148525e-05,0.0001376597836774828,198.34062,6808.67509239
BEL,Belgium,0.6991150442477876,0.26991150442477874,0.42920353982300885,0.028040333039834067,0.01697148475909538,698986.88740821,402944.95729738
BEN,Benin,0.24336283185840707,0.19469026548672566,0.048672566371681415,0.005343036719998512,0.11852507374631269,151999.658154,1674760.158448
BGD,Bangladesh,0.2743362831858407,0.11061946902654868,0.16371681415929204,0.00043808608603226884,0.004247787610619469,15913.538139999999,1603971.49132871
BHR,Bahrain,0.3185840707964602,0.16371681415929204,0.15486725663716813,0.001706443173905171,0.0,1583.286575,267313.6435502
BIH,Bosnia Herzegovina,0.2079646017699115,0.17256637168141592,0.035398230088495575,0.00030766858161633423,0.0,432.6554774,30365.10029175
BLR,Belarus,0.16814159292035397,0.12831858407079647,0.03982300884955752,0.001159538831315299,0.004385447394296952,6089.586130000001,69891.52929009999
BLZ,Belize,0.048672566371681415,0.030973451327433628,0.017699115044247787,3.581801592530094e-05,0.0,13458.087399999999,631.90399
BRN,Brunei Darussalam,0.1327433628318584,0.09292035398230089,0.03982300884955752,0.0006915165798375637,0.0,5059.232538,192298.029208
BWA,Botswana,0.07079646017699115,0.05752212389380531,0.01327433628318584,9.582107987801852e-05,0.0,1412.57026051,84509.32080730001
CAF,Central African Republic,0.07964601769911504,0.0752212389380531,0.004424778761061947,5.80978042769736e-05,0.0,28.917023,4201.741613499999
CHE,Switzerland,0.48672566371681414,0.24336283185840707,0.24336283185840707,0.0066505792127230495,0.001927236971484759,109947.96372245,213398.27443499002
CHN,China,0.9646017699115044,0.16814159292035397,0.7964601769911505,0.03244051246473918,0.04247787610619469,1732920.71081558,2059541.75211638
CIV,Cote d'Ivoire,0.24336283185840707,0.16814159292035397,0.0752212389380531,0.004092995495971956,0.009990167158308751,40659.303035,2291529.1899817
CMR,Cameroon,0.22123893805309736,0.18141592920353983,0.03982300884955752,0.001959351597034124,0.004424778761061947,2713.4512218,1087888.312557574
COD,"Congo, Democratic Republic",0.12831858407079647,0.10619469026548672,0.022123893805309734,0.00024164605752492881,0.00896755162241888,895.206317,65759.982939
COG,"Congo, Republic",0.18141592920353983,0.16814159292035397,0.01327433628318584,0.000815111550088265,0.021494591937069814,2870.199,181356.98101062002
CYP,Cyprus,0.23893805309734512,0.16814159292035397,0.07079646017699115,0.0005143837179380607,0.0,1708.652599,41101.1929451
DJI,Djibouti,0.09292035398230089,0.08407079646017698,0.008849557522123894,8.184840639281658e-05,3.9331366764995083e-05,1102.435,94155.00535400001
DNK,Denmark,0.45132743362831856,0.23008849557522124,0.22123893805309736,0.003160819756982331,0.007551622418879056,38974.95870893,198550.2356023
DZA,Algeria,0.1504424778761062,0.12831858407079647,0.022123893805309734,0.00029531220397401714,0.01311701081612586,1754.87397,260325.5161076
EGY,Egypt,0.5353982300884955,0.16371681415929204,0.37168141592920356,0.0052706548934787194,0.053746312684365784,898465.9435526,225119.0596274
ERI,Eritrea,0.048672566371681415,0.04424778761061947,0.004424778761061947,1.0273585029057782e-05,0.0,17.797606,1333.961477
