ISO3,score_2012,country,score_2022,delta,rank_2012,rank_2022,rank_delta
CYM,0.030973451327433628,Cayman Islands,0.061946902654867256,0.030973451327433628,192.0,169.0,23.0
BMU,0.02654867256637168,Bermuda,0.05752212389380531,0.030973451327433628,197.0,174.0,23.0
SSD,0.008849557522123894,South Sudan,0.03982300884955752,0.030973451327433628,212.0,186.0,26.0
SXM,0.004424778761061947,Sint Maarten (Dutch part),0.035398230088495575,0.030973451327433628,220.0,190.0,30.0
NZL,0.17699115044247787,New Zealand,0.2079646017699115,0.03097345132743362,35.0,37.0,-2.0
TGO,0.12389380530973451,Togo,0.15486725663716813,0.03097345132743362,84.0,70.0,14.0
MLI,0.10176991150442477,Mali,0.1327433628318584,0.03097345132743362,111.0,90.0,21.0
PHL,0.10176991150442477,Philippines,0.1327433628318584,0.03097345132743362,111.0,90.0,21.0
DNK,0.23008849557522124,Denmark,0.25663716814159293,0.026548672566371695,16.0,17.0,-1.0
HKG,0.15486725663716813,"China, Hong Kong SAR",0.18141592920353983,0.026548672566371695,53.0,47.0,6.0
LVA,0.1327433628318584,Latvia,0.1592920353982301,0.026548672566371695,74.0,65.0,9.0
BDI,0.0663716814159292,Burundi,0.09292035398230089,0.026548672566371695,152.0,127.0,25.0
PNG,0.0663716814159292,Papua New Guinea,0.09292035398230089,0.026548672566371695,152.0,127.0,25.0
LTU,0.1504424778761062,Lithuania,0.17699115044247787,0.026548672566371667,57.0,49.0,8.0
KEN,0.15486725663716813,Kenya,0.17699115044247787,0.02212389380530974,53.0,49.0,4.0
KGZ,0.07079646017699115,Kyrgyzstan,0.09292035398230089,0.02212389380530974,145.0,127.0,18.0
TUN,0.07079646017699115,Tunisia,0.09292035398230089,0.02212389380530974,145.0,127.0,18.0
BWA,0.05752212389380531,Botswana,0.07964601769911504,0.022123893805309734,163.0,148.0,15.0
MSR,0.01327433628318584,Montserrat,0.035398230088495575,0.022123893805309734,207.0,190.0,17.0
GAB,0.09734513274336283,Gabon,0.11946902654867256,0.022123893805309727,116.0,98.0,18.0
ZMB,0.09292035398230089,Zambia,0.11504424778761062,0.022123893805309727,123.0,103.0,20.0
CAF,0.0752212389380531,Central African Republic,0.09734513274336283,0.022123893805309727,142.0,124.0,18.0
GNB,0.061946902654867256,Guinea-Bissau,0.08407079646017698,0.022123893805309727,156.0,140.0,16.0
KHM,0.061946902654867256,Cambodia,0.08407079646017698,0.022123893805309727,156.0,140.0,16.0
SWZ,0.061946902654867256,Eswatini,0.08407079646017698,0.022123893805309727,156.0,140.0,16.0
POL,0.2168141592920354,Poland,0.23893805309734512,0.022123893805309713,21.0,26.0,-5.0
ZAF,0.23893805309734512,South Africa,0.25663716814159293,0.017699115044247815,12.0,17.0,-5.0
GEO,0.1327433628318584,Georgia,0.1504424778761062,0.017699115044247815,74.0,73.0,1.0
ARG,0.05752212389380531,Argentina,0.0752212389380531,0.017699115044247794,163.0,155.0,8.0
ROU,0.1592920353982301,Romania,0.17699115044247787,0.017699115044247787,49.0,49.0,0.0
PAN,0.1415929203539823,Panama,0.1592920353982301,0.017699115044247787,64.0,65.0,-1.0
OMN,0.12389380530973451,Oman,0.1415929203539823,0.017699115044247787,84.0,80.0,4.0
TZA,0.11946902654867256,Tanzania,0.13716814159292035,0.017699115044247787,90.0,85.0,5.0
PYF,0.10619469026548672,French Polynesia,0.12389380530973451,0.017699115044247787,104.0,93.0,11.0
VCT,0.048672566371681415,Saint Vincent and the Grenadines,0.0663716814159292,0.01769911504424778,176.0,163.0,13.0
HND,0.08407079646017698,Honduras,0.09734513274336283,0.013274336283185847,131.0,124.0,7.0
BRB,0.07964601769911504,Barbados,0.09292035398230089,0.013274336283185847,138.0,127.0,11.0
DMA,0.048672566371681415,Dominica,0.061946902654867256,0.01327433628318584,176.0,169.0,7.0
GUY,0.04424778761061947,Guyana,0.05752212389380531,0.01327433628318584,182.0,174.0,8.0
GIB,0.02654867256637168,Gibraltar,0.03982300884955752,0.01327433628318584,197.0,186.0,11.0
TUV,0.017699115044247787,Tuvalu,0.030973451327433628,0.01327433628318584,202.0,193.0,9.0
ASM,0.008849557522123894,American Samoa,0.022123893805309734,0.01327433628318584,212.0,199.0,13.0
BLM,0.0,Saint-Barthelemy,0.01327433628318584,0.01327433628318584,227.0,211.0,16.0
AUS,0.2345132743362832,Australia,0.24778761061946902,0.013274336283185834,15.0,23.0,-8.0
KWT,0.1902654867256637,Kuwait,0.20353982300884954,0.013274336283185834,31.0,39.0,-8.0
HRV,0.1592920353982301,Croatia,0.17256637168141592,0.013274336283185834,49.0,54.0,-5.0
SRB,0.15486725663716813,Serbia,0.16814159292035397,0.013274336283185834,53.0,57.0,-4.0
MDA,0.14601769911504425,Moldova,0.1592920353982301,0.013274336283185834,62.0,65.0,-3.0
KAZ,0.12831858407079647,Kazakhstan,0.1415929203539823,0.013274336283185834,78.0,80.0,-2.0
RWA,0.12831858407079647,Rwanda,0.1415929203539823,0.013274336283185834,78.0,80.0,-2.0
MUS,0.12389380530973451,Mauritius,0.13716814159292035,0.013274336283185834,84.0,85.0,-1.0
