ISO3,Country,Degree centrality,Weighted betweenness,In-degree,Out-degree
USA,United States,1.0318181818181817,0.4485886259858863,59,168
THA,Thailand,0.8636363636363636,0.08138231631382317,23,167
IND,India,0.85,0.09723951847239519,20,167
ITA,Italy,0.8409090909090908,0.14887920298879204,45,140
PAK,Pakistan,0.7090909090909091,0.29292237442922375,17,139
DEU,Germany,0.6590909090909091,0.0338107098381071,53,92
FRA,France,0.6545454545454545,0.09321295143212951,45,99
CHN,China,0.6318181818181818,0.03605230386052304,24,115
GBR,United Kingdom,0.6136363636363636,0.04497716894977169,56,79
ARE,United Arab Emirates,0.6136363636363636,0.10288501452885015,37,98
VNM,Vietnam,0.6,0.031174761311747616,14,118
NLD,Netherlands,0.5909090909090908,0.0668327106683271,44,86
ESP,Spain,0.5454545454545454,0.041490244914902455,34,86
BEL,Belgium,0.4909090909090909,0.011207970112079703,31,77
CAN,Canada,0.4818181818181818,0.029721876297218765,54,52
BRA,Brazil,0.44545454545454544,0.08148609381486094,22,76
TUR,Turkey,0.42727272727272725,0.015836446658364468,28,66
JPN,Japan,0.3909090909090909,0.011041926110419261,17,69
KOR,"Korea, Republic",0.38636363636363635,0.004503943545039435,26,59
LBN,Lebanon,0.3818181818181818,0.0,28,56
SGP,Singapore,0.37727272727272726,0.013491075134910753,35,48
AUS,Australia,0.35454545454545455,0.041490244914902455,34,44
UKR,Ukraine,0.3409090909090909,0.011768368617683687,22,53
KHM,Cambodia,0.3409090909090909,0.00033208800332088005,11,64
POL,Poland,0.3318181818181818,0.03798256537982565,33,40
ZAF,South Africa,0.32727272727272727,0.03327106683271067,31,41
URY,Uruguay,0.3181818181818182,0.0,4,66
DNK,Denmark,0.3136363636363636,0.006060606060606061,41,28
LKA,Sri Lanka,0.3136363636363636,0.0,21,48
HKG,"China, Hong Kong SAR",0.3045454545454545,0.013532586135325863,29,38
GRC,Greece,0.3045454545454545,0.00884184308841843,25,42
CHE,Switzerland,0.2954545454545454,0.008073889580738897,40,25
RUS,Russian Federation,0.2909090909090909,0.034620174346201744,28,36
PRT,Portugal,0.2818181818181818,0.030801162308011623,22,40
AUT,Austria,0.2772727272727273,0.0,34,27
EGY,Egypt,0.2545454545454545,0.04819427148194272,21,35
SAU,Saudi Arabia,0.25,0.009153175591531757,28,27
ROU,Romania,0.2409090909090909,0.014321295143212951,26,27
BHR,Bahrain,0.2318181818181818,0.004503943545039435,25,26
CZE,Czech Republic,0.22727272727272727,0.006973848069738481,25,25
SWE,Sweden,0.21363636363636362,0.004503943545039435,33,14
NZL,New Zealand,0.21363636363636362,0.020797011207970114,28,19
GHA,Ghana,0.20909090909090908,0.008945620589456206,39,7
NOR,Norway,0.20909090909090908,0.0016604400166044002,32,14
LTU,Lithuania,0.20909090909090908,0.018181818181818184,28,18
BGR,Bulgaria,0.19999999999999998,0.0010377750103777502,25,19
SVK,Slovakia,0.1909090909090909,0.0,25,17
SVN,Slovenia,0.1909090909090909,0.0,24,18
MYS,Malaysia,0.1909090909090909,0.008945620589456206,21,21
BGD,Bangladesh,0.18636363636363634,0.0,14,27
JOR,Jordan,0.18181818181818182,0.004753009547530096,30,10
FIN,Finland,0.16818181818181818,0.0,28,9
IDN,Indonesia,0.16818181818181818,0.0028435035284350356,16,21
NER,Niger,0.16363636363636364,0.19171855541718558,29,7
ISR,Israel,0.16363636363636364,0.0,21,15
HUN,Hungary,0.16363636363636364,0.0,20,16
EST,Estonia,0.1590909090909091,0.0,27,8
IRL,Ireland,0.1590909090909091,0.0,25,10
ARG,Argentina,0.15454545454545454,0.0,7,27
AGO,Angola,0.15,0.0,33,0
BIH,Bosnia Herzegovina,0.15,0.004503943545039435,29,4
CYP,Cyprus,0.15,0.00041511000415110004,29,4
CIV,Cote d'Ivoire,0.15,0.0008302200083022001,24,9
SRB,Serbia,0.15,0.011975923619759236,21,12
CMR,Cameroon,0.14545454545454545,0.00448318804483188,28,4
