ISO3,Country,Degree centrality,Weighted betweenness,In-degree,Out-degree
LVA,Latvia,0.14545454545454545,0.004503943545039435,24,8
MMR,Myanmar,0.14545454545454545,0.0,7,25
PHL,Philippines,0.1409090909090909,0.022208385222083852,16,15
HRV,Croatia,0.13636363636363635,0.0,24,6
MKD,North Macedonia,0.13636363636363635,0.0,19,11
BEN,Benin,0.1318181818181818,0.057388958073889586,24,5
UGA,Uganda,0.1318181818181818,0.013594852635948527,22,7
LUX,Luxembourg,0.1318181818181818,0.0,20,9
NGA,Nigeria,0.12727272727272726,0.013366542133665423,23,5
ISL,Iceland,0.12272727272727273,0.0,25,2
OMN,Oman,0.12272727272727273,0.0,17,10
CPV,Cabo Verde,0.11818181818181818,0.026899128268991285,21,5
TZA,Tanzania,0.11818181818181818,0.0,17,9
FJI,Fiji,0.11818181818181818,0.007596513075965131,16,10
COG,"Congo, Republic",0.10909090909090909,2.0755500207555003e-05,23,1
MDV,Maldives,0.10909090909090909,0.004503943545039435,23,1
GEO,Georgia,0.10909090909090909,0.0,21,3
MUS,Mauritius,0.10909090909090909,0.0,19,5
MDG,Madagascar,0.10909090909090909,0.004420921544209215,17,7
ALB,Albania,0.10454545454545454,0.0,22,1
BFA,Burkina Faso,0.10454545454545454,0.0,22,1
MLT,Malta,0.10454545454545454,0.0,20,3
BLR,Belarus,0.10454545454545454,0.013325031133250313,17,6
TGO,Togo,0.10454545454545454,0.004524699045246991,17,6
KEN,Kenya,0.10454545454545454,0.00031133250311332503,16,7
MOZ,Mozambique,0.09999999999999999,0.017393109173931092,21,1
MAC,"China, Macao SAR",0.09999999999999999,0.0,20,2
SYR,Syria,0.09999999999999999,0.0,19,3
IRN,Iran,0.09999999999999999,0.0,8,14
NAM,Namibia,0.09999999999999999,0.0,8,14
LAO,Lao PDR,0.09999999999999999,0.0029472810294728104,3,19
AZE,Azerbaijan,0.09545454545454544,0.00448318804483188,18,3
KWT,Kuwait,0.09545454545454544,0.0,18,3
PAN,Panama,0.09545454545454544,0.00026982150269821504,18,3
TTO,Trinidad and Tobago,0.09545454545454544,0.008904109589041096,14,7
SUR,Suriname,0.09545454545454544,0.0,6,15
COM,Comoros,0.09090909090909091,0.0,20,0
DZA,Algeria,0.09090909090909091,0.0,19,1
ETH,Ethiopia,0.09090909090909091,0.004503943545039435,19,1
RWA,Rwanda,0.09090909090909091,6.226650062266502e-05,19,1
KAZ,Kazakhstan,0.09090909090909091,0.0030095475300954753,15,5
PRY,Paraguay,0.09090909090909091,0.0,10,10
GUY,Guyana,0.09090909090909091,0.0,2,18
QAT,Qatar,0.08636363636363636,0.0,19,0
SYC,Seychelles,0.08636363636363636,0.0,19,0
MNE,Montenegro,0.08636363636363636,0.0,18,1
CHL,Chile,0.08636363636363636,0.0,17,2
BRN,Brunei Darussalam,0.08636363636363636,0.004462432544624325,14,5
PER,Peru,0.08636363636363636,0.007451224574512246,12,7
GMB,Gambia,0.08181818181818182,0.0,18,0
MDA,Moldova,0.08181818181818182,0.0,18,0
MLI,Mali,0.08181818181818182,2.0755500207555003e-05,17,1
MAR,Morocco,0.08181818181818182,0.0,16,2
SEN,Senegal,0.08181818181818182,0.0,16,2
NCL,New Caledonia,0.08181818181818182,0.0,15,3
DOM,Dominican Republic,0.08181818181818182,0.004503943545039435,14,4
ARM,Armenia,0.07727272727272727,0.0,17,0
PSE,State of Palestine,0.07727272727272727,0.0,17,0
LBR,Liberia,0.07727272727272727,0.0,16,1
ZMB,Zambia,0.07727272727272727,4.1511000415110007e-05,15,2
GIN,Guinea,0.07272727272727272,0.0,16,0
PYF,French Polynesia,0.07272727272727272,0.0,16,0
GAB,Gabon,0.07272727272727272,0.0,15,1
ZWE,Zimbabwe,0.07272727272727272,0.0,15,1
JAM,Jamaica,0.07272727272727272,0.00016604400166044003,14,2
YEM,Yemen,0.07272727272727272,0.016936488169364883,14,2
BRB,Barbados,0.07272727272727272,0.004524699045246991,13,3
COL,Colombia,0.07272727272727272,0.01789124117891241,13,3
MWI,Malawi,0.07272727272727272,0.02181403071814031,10,6
MEX,Mexico,0.07272727272727272,0.0,8,8
IRQ,Iraq,0.06818181818181818,0.0,15,0
MRT,Mauritania,0.06818181818181818,0.0,15,0
LBY,Libya,0.06818181818181818,0.004503943545039435,14,1
SLV,El Salvador,0.06818181818181818,0.013470319634703198,8,7
COD,"Congo, Democratic Republic",0.05909090909090909,0.0,13,0
GRL,Greenland,0.05909090909090909,0.0,13,0
KGZ,Kyrgyzstan,0.05909090909090909,0.0,10,3
BOL,Bolivia,0.05909090909090909,0.0,8,5
SDN,Sudan,0.05454545454545454,0.0,12,0
SLE,Sierra Leone,0.05454545454545454,0.0,11,1
TUN,Tunisia,0.05454545454545454,0.0,9,3
BDI,Burundi,0.049999999999999996,0.0,11,0
VEN,Venezuela,0.049999999999999996,0.0,11,0
CUB,Cuba,0.049999999999999996,0.0,11,0
CUW,Curacao,0.049999999999999996,0.0,11,0
GNQ,Equatorial Guinea,0.049999999999999996,0.0,11,0
HTI,Haiti,0.049999999999999996,0.0,10,1
NIC,Nicaragua,0.049999999999999996,0.0,10,1
CRI,Costa Rica,0.049999999999999996,0.004503943545039435,8,3
GTM,Guatemala,0.049999999999999996,0.0,8,3
TJK,Tajikistan,0.049999999999999996,0.00448318804483188,8,3
PNG,Papua New Guinea,0.045454545454545456,0.0,10,0
AFG,Afghanistan,0.045454545454545456,0.0,10,0
DJI,Djibouti,0.045454545454545456,0.0,10,0
CAF,Central African Republic,0.045454545454545456,0.0,10,0
MNG,Mongolia,0.045454545454545456,0.0,10,0
HND,Honduras,0.045454545454545456,0.017870485678704858,9,1
VUT,Vanuatu,0.045454545454545456,0.0,9,1
TKM,Turkmenistan,0.045454545454545456,0.0,8,2
VCT,Saint Vincent and the Grenadines,0.045454545454545456,0.016044001660440017,7,3
LCA,Saint Lucia,0.04090909090909091,0.0,9,0
SLB,Solomon Islands,0.04090909090909091,0.0,8,1
SWZ,Eswatini,0.04090909090909091,0.0,7,2
AND,Andorra,0.04090909090909091,0.0,5,4
STP,Sao Tome and Principe,0.03636363636363636,0.0,8,0
KIR,Kiribati,0.03636363636363636,0.0,8,0
BHS,Bahamas,0.03636363636363636,0.0,7,1
TLS,Timor-Leste,0.03636363636363636,0.0,7,1
BWA,Botswana,0.03636363636363636,0.0,6,2
ECU,Ecuador,0.03636363636363636,0.013470319634703198,5,3
NPL,Nepal,0.03636363636363636,0.0,5,3
PRK,"Korea, Democratic People’s Republic",0.03636363636363636,0.0,5,3
SOM,Somalia,0.031818181818181815,0.0,7,0
GRD,Grenada,0.031818181818181815,0.0,7,0
ABW,Aruba,0.031818181818181815,0.0,6,1
PLW,Palau,0.02727272727272727,0.0,6,0
GNB,Guinea-Bissau,0.02727272727272727,0.0,6,0
MYT,Mayotte,0.02727272727272727,0.0,5,1
DMA,Dominica,0.022727272727272728,0.0,5,0
FSM,Micronesia,0.022727272727272728,0.0,5,0
TON,Tonga,0.022727272727272728,0.0,5,0
TCD,Chad,0.022727272727272728,0.0,5,0
ATG,Antigua and Barbuda,0.022727272727272728,0.0,5,0
BLZ,Belize,0.022727272727272728,0.0,4,1
WSM,Samoa,0.022727272727272728,0.0,4,1
MHL,Marshall Islands,0.01818181818181818,0.0,4,0
BMU,Bermuda,0.01818181818181818,0.0,4,0
COK,Cook Islands,0.01818181818181818,0.0,4,0
TUV,Tuvalu,0.01818181818181818,0.0,4,0
WLF,Wallis and Futuna Islands,0.01818181818181818,0.0,4,0
KNA,Saint Kitts and Nevis,0.01818181818181818,0.0,4,0
CYM,Cayman Islands,0.01818181818181818,0.0,4,0
UZB,Uzbekistan,0.01818181818181818,0.0,3,1
BTN,Bhutan,0.01818181818181818,0.0,2,2
VGB,British Virgin Islands,0.01818181818181818,0.0,2,2
GUM,Guam,0.013636363636363636,0.0,3,0
LSO,Lesotho,0.013636363636363636,0.0,2,1
ASM,American Samoa,0.013636363636363636,0.0,0,3
ERI,Eritrea,0.00909090909090909,0.0,2,0
MSR,Montserrat,0.00909090909090909,0.0,2,0
SPM,Saint Pierre and Miquelon,0.00909090909090909,0.0,2,0
ATF,French Southern Territories,0.00909090909090909,0.0,2,0
FRO,Faeroe Islands,0.00909090909090909,0.0,2,0
GIB,Gibraltar,0.00909090909090909,0.0,2,0
NRU,Nauru,0.00909090909090909,0.0,2,0
SSD,South Sudan,0.00909090909090909,0.0,2,0
SHN,Saint Helena,0.00909090909090909,0.0,2,0
TCA,Turks and Caicos Islands,0.00909090909090909,0.0,1,1
VAT,Holy See,0.004545454545454545,0.0,1,0
NFK,Norfolk Islands,0.004545454545454545,0.0,1,0
NIU,Niue,0.004545454545454545,0.0,1,0
MNP,Northern Mariana Islands,0.004545454545454545,0.0,1,0
UMI,United States Minor Outlying Islands,0.004545454545454545,0.0,1,0
AIA,Anguilla,0.004545454545454545,0.0,1,0
SXM,Sint Maarten (Dutch part),0.004545454545454545,0.0,1,0
ATA,Antarctica,0.0,0.0,0,0
